app_id, name, version, language, os_type, platform, legacy, path
com.eset.apps.business.era.agent, ESET Management Agent, 8.1.2209.0, en_US, linux, x86, 0,com/eset/apps/business/era/agent/v8/8.1.2209.0/agent_linux_i386.sh,
com.eset.apps.business.era.agent, ESET Management Agent, 8.1.2209.0, en_US, linux, x64, 0,com/eset/apps/business/era/agent/v8/8.1.2209.0/agent_linux_x86_64.sh,
com.eset.apps.business.era.server.linux, ESET PROTECT Server, 8.1.2209.0, en_US, linux, x64, 0,com/eset/apps/business/era/server/linux/v8/8.1.2209.0/server_linux_x86_64.sh,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.10, ja_JP, windows, x86, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.10/uPCU/2251804242149379/ees_nt32.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.10, ja_JP, windows, x86, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.10/ees_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.10, ja_JP, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.10/ees_nt64.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.10, ja_JP, windows, x86, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.10/uPCU/full/ees_nt32.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.10, ja_JP, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.10/uPCU/full/ees_nt64.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.10, ja_JP, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.10/uPCU/2251804242149379/ees_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.10, ja_JP, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.10/uPCU/full/eea_nt64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.10, ja_JP, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.10/uPCU/full/eea_nt32.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.10, ja_JP, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.10/uPCU/2251804242149379/eea_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.10, ja_JP, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.10/uPCU/2251804242149379/eea_nt32.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.10, ja_JP, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.10/eea_nt64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.10, ja_JP, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.10/eea_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/uPCU/2251804242149378/ees_nt64.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/uPCU/2251804242149378/ees_nt32.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/uPCU/full/ees_nt32.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/uPCU/full/ees_nt64.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/ees_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v8/8.1.2037.9/ees_nt64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/2251804242149378/eea_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/2251804242149378/eea_nt32.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/eea_nt64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/uPCU/full/eea_nt32.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/eea_nt64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 8.1.2037.9, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v8/8.1.2037.9/eea_nt32.msi,
